Date,ADT,AADT,PTRUCKS,85PCT,DIRECTION,GROUP
2019-01-01,10073.304418653486,17902.5,9.0,114.66666666666667,T,C
2019-04-29,26354.0,25500.0,8.345707070707071,102.70277777777778,S,A
2019-05-02,5705.0,5568.75,4.5,102.70277777777778,W,B
2019-05-09,1103.625,1138.75,6.5,102.70277777777778,T,B
2019-05-16,3495.1428571428573,3380.0,7.5,102.70277777777778,W,A
2019-05-23,6645.0,6390.0,6.5,102.70277777777778,T,A
2019-05-30,2088.0,1949.090909090909,5.833333333333333,102.70277777777778,W,A
2019-06-10,3715.5,3456.6666666666665,8.345707070707071,102.70277777777778,N,B
2019-06-13,1009.0,941.4285714285714,4.75,102.70277777777778,T,D
2019-06-27,388.375,353.75,9.0,102.70277777777778,T,C
2019-07-08,1089.25,837.5,4.25,102.70277777777778,E,C
2019-07-10,7948.0,6755.0,8.345707070707071,102.70277777777778,T,C
2019-07-24,855.3333333333334,636.6666666666666,9.0,102.70277777777778,W,C
2019-07-25,9081.0,8995.0,8.345707070707071,102.70277777777778,W,AA
2019-08-13,15229.0,15300.0,8.345707070707071,102.70277777777778,N,AA
2019-08-20,5589.083333333333,4507.5,12.0,102.70277777777778,T,AA
2019-08-27,4316.125,3903.75,5.0,102.70277777777778,T,A
2019-09-09,2566.0,2430.0,8.345707070707071,102.70277777777778,T,A
2019-09-12,19704.25,18650.0,8.345707070707071,102.70277777777778,W,A
2019-09-16,2621.0,2335.0,8.0,102.70277777777778,T,C
2019-09-18,3334.0,3230.0,8.345707070707071,102.70277777777778,T,A
2019-10-02,10695.0,10468.0,15.0,102.70277777777778,T,A
2019-10-08,6797.0,6007.5,8.345707070707071,102.70277777777778,E,C
2019-10-09,9877.333333333334,9456.666666666666,8.345707070707071,102.70277777777778,E,A
2019-10-10,20970.25,19500.0,8.345707070707071,102.70277777777778,S,A
2019-10-21,9543.0,9164.0,8.345707070707071,102.70277777777778,T,A
2019-10-22,11993.0,11600.0,8.345707070707071,102.70277777777778,T,A
2019-10-24,11386.5,10950.0,8.345707070707071,102.70277777777778,W,A
2019-10-28,14743.714285714286,14557.142857142857,8.345707070707071,102.70277777777778,N,A
2019-10-30,31487.5,31600.0,8.345707070707071,102.70277777777778,N,A
2019-11-06,7647.0,7975.0,8.345707070707071,102.70277777777778,E,A
2019-11-14,27911.0,30150.0,8.345707070707071,102.70277777777778,N,A
2019-11-19,11697.0,12150.0,8.345707070707071,102.70277777777778,E,A
2019-11-27,15980.0,16700.0,8.345707070707071,102.70277777777778,E,A
2019-12-04,12371.0,13400.0,8.345707070707071,102.70277777777778,E,A
2019-12-05,19891.0,21600.0,8.345707070707071,102.70277777777778,S,A
2019-12-09,27509.5,28700.0,8.345707070707071,102.70277777777778,S,A
2019-12-12,30750.0,32100.0,8.345707070707071,102.70277777777778,S,A
2019-12-18,27644.0,28495.0,8.345707070707071,102.70277777777778,S,A
2020-01-01,10073.304418653486,13775.833333333334,10.833333333333334,114.5,T,A
2020-04-20,9360.0,9470.0,8.345707070707071,102.70277777777778,S,A
2020-04-21,11438.5,11597.5,8.345707070707071,102.70277777777778,N,A
2020-04-22,9352.5,9478.333333333334,8.345707070707071,102.70277777777778,N,A
2020-04-23,4876.25,5046.25,8.345707070707071,102.70277777777778,W,C
2020-04-29,9680.0,9490.0,8.345707070707071,102.70277777777778,S,A
2020-05-06,12214.714285714286,11844.285714285714,8.345707070707071,102.70277777777778,N,A
2020-05-28,4931.166666666667,4620.0,19.333333333333332,102.70277777777778,E,A
2020-06-04,8236.0,7660.0,8.345707070707071,102.70277777777778,T,A
2020-06-15,16572.0,15200.0,8.345707070707071,102.70277777777778,S,A
2020-07-23,13200.0,13042.857142857143,8.345707070707071,102.70277777777778,E,AA
2020-08-27,13440.0,13400.0,8.345707070707071,102.70277777777778,T,AA
2020-09-29,530.4444444444445,485.55555555555554,9.444444444444445,88.25,E,C
2020-09-30,545.3333333333334,498.3333333333333,8.666666666666666,69.0,W,B
2020-10-06,164.0,140.0,10.0,102.70277777777778,T,C
2020-10-07,807.5,725.0,10.0,102.70277777777778,E,B
2020-10-22,3066.1,2945.0,4.0,102.70277777777778,T,B
2020-10-26,6221.888888888889,6272.222222222223,8.345707070707071,102.70277777777778,T,C
2020-10-27,1280.0,1296.25,8.345707070707071,102.70277777777778,T,B
2020-10-28,384.0,380.0,8.345707070707071,102.70277777777778,T,B
2020-10-29,1315.75,1317.5,8.345707070707071,102.70277777777778,T,C
2020-11-05,5303.090909090909,5461.636363636364,8.345707070707071,102.70277777777778,T,B
2020-11-09,970.8,1032.0,8.345707070707071,102.70277777777778,T,D
2020-11-10,2524.0,2700.0,8.345707070707071,102.70277777777778,T,B
2020-11-12,12961.5,13015.0,8.345707070707071,102.70277777777778,S,AA
2020-11-16,9275.0,9392.5,8.345707070707071,102.70277777777778,T,A
2020-11-18,1991.857142857143,2164.285714285714,8.345707070707071,102.70277777777778,T,C
2020-11-19,4630.166666666667,4595.0,8.345707070707071,102.70277777777778,T,A
2020-11-24,2350.0,2460.0,8.345707070707071,102.70277777777778,T,A
2020-11-26,8782.0,8650.0,8.345707070707071,102.70277777777778,N,AA
2020-12-02,15176.0,16200.0,8.345707070707071,102.70277777777778,E,A
2020-12-03,20854.4,21938.0,8.345707070707071,102.70277777777778,S,A
2021-01-01,10073.304418653486,15497.2,12.6,114.8,N,B
2021-04-14,13544.666666666666,13870.0,8.345707070707071,102.70277777777778,W,A
2021-04-15,11956.714285714286,12052.857142857143,8.345707070707071,102.70277777777778,E,A
2021-04-21,13398.0,13600.0,8.345707070707071,102.70277777777778,T,A
2021-04-22,9367.0,9400.0,8.345707070707071,102.70277777777778,N,AA
2021-05-10,549.2222222222222,533.3333333333334,3.5,102.70277777777778,W,D
2021-05-11,533.1111111111111,522.2222222222222,11.25,102.70277777777778,T,C
2021-05-13,1730.142857142857,1707.142857142857,3.75,102.70277777777778,T,C
2021-05-17,2085.5714285714284,2020.0,8.345707070707071,102.70277777777778,T,B
2021-05-19,1266.375,1226.25,4.0,102.70277777777778,T,C
2021-05-20,6698.0,6422.5,13.0,102.70277777777778,W,A
2021-05-25,9823.666666666666,9170.0,8.345707070707071,102.70277777777778,W,A
2021-05-27,3377.8333333333335,3110.0,4.0,102.70277777777778,T,A
2021-06-02,10457.0,9730.0,8.345707070707071,102.70277777777778,W,A
2021-06-22,2987.5,2585.0,8.345707070707071,102.70277777777778,T,C
2021-08-26,3264.777777777778,2800.0,5.25,102.70277777777778,T,B
2021-09-01,7424.0,7140.0,8.345707070707071,102.70277777777778,S,AA
2021-10-04,9089.875,8481.25,8.345707070707071,102.70277777777778,T,A
2021-10-07,27490.5,27450.0,8.345707070707071,102.70277777777778,S,AA
2021-10-13,4535.666666666667,4286.666666666667,8.345707070707071,102.70277777777778,T,AA
2021-10-21,4094.0,3965.0,8.345707070707071,102.70277777777778,T,A
2021-11-01,33425.6,34720.0,13.5,102.70277777777778,N,A
2021-11-04,1104.7777777777778,1173.3333333333333,6.75,102.70277777777778,T,C
2021-11-17,10944.333333333334,10852.111111111111,8.345707070707071,102.70277777777778,E,A
2021-11-22,11742.0,11600.0,8.345707070707071,102.70277777777778,E,AA
2021-11-25,14323.4,14416.0,8.345707070707071,102.70277777777778,W,AA
2022-01-01,10073.304418653486,17580.0,12.0,115.0,N,B
2022-04-11,54025.71428571428,17971.428571428572,8.345707070707071,102.70277777777778,S,A
2022-04-12,24230.0,24900.0,18.0,102.70277777777778,S,A
2022-04-26,26533.0,26000.0,8.345707070707071,102.70277777777778,S,A
2022-05-10,2168.5,2140.0,6.0,102.70277777777778,S,C
2022-05-11,21826.0,21188.88888888889,13.0,102.70277777777778,S,A
2022-05-18,24555.666666666668,23533.333333333332,15.0,102.70277777777778,S,A
2022-05-25,14965.0,13991.111111111111,8.345707070707071,102.70277777777778,E,A
2022-05-30,4947.142857142857,4612.857142857143,8.345707070707071,102.70277777777778,T,C
2022-06-01,22128.0,20600.0,8.345707070707071,102.70277777777778,E,A
2022-06-06,2329.5714285714284,2178.5714285714284,4.5,102.70277777777778,N,B
2022-06-20,16516.0,15280.0,8.345707070707071,102.70277777777778,T,A
2022-06-29,9660.0,8630.0,8.345707070707071,102.70277777777778,T,A
2022-06-30,427.0,380.0,8.345707070707071,102.70277777777778,T,B
2022-07-11,4098.444444444444,3537.777777777778,7.0,102.70277777777778,T,B
2022-07-13,2055.0,1530.0,8.345707070707071,102.70277777777778,T,C
2022-07-18,9902.5,8847.5,8.345707070707071,102.70277777777778,T,A
2022-07-25,2210.4,1782.0,8.345707070707071,102.70277777777778,T,B
2022-08-08,2670.1428571428573,2227.1428571428573,4.5,102.70277777777778,T,D
2022-08-15,1233.6,930.0,6.5,102.70277777777778,W,C
2022-08-22,3219.0,3046.6666666666665,8.345707070707071,102.70277777777778,T,A
2022-08-23,12077.5,12050.0,8.345707070707071,102.70277777777778,N,AA
2022-08-24,300.6666666666667,233.33333333333334,9.0,102.70277777777778,T,C
2022-08-25,1709.0,1380.0,8.345707070707071,102.70277777777778,T,B
2022-09-01,13617.833333333334,14020.0,8.345707070707071,102.70277777777778,N,AA
2022-09-12,22088.2,21630.0,8.345707070707071,102.70277777777778,S,AA
2022-09-19,24038.0,24310.0,8.345707070707071,102.70277777777778,S,AA
2022-09-20,9504.714285714286,9014.285714285714,8.345707070707071,102.70277777777778,W,A
2022-09-21,25896.666666666668,26186.666666666668,8.345707070707071,102.70277777777778,S,AA
2022-09-22,2642.6666666666665,2460.0,5.0,102.70277777777778,E,B
2022-09-28,15947.0,14900.0,8.345707070707071,102.70277777777778,E,A
2022-09-29,6901.75,6435.0,8.345707070707071,102.70277777777778,E,A
2022-10-04,1339.25,1182.5,6.0,102.70277777777778,T,B
2022-10-05,9287.6,9258.0,8.345707070707071,102.70277777777778,E,AA
2022-10-17,1098.75,1047.5,4.0,102.70277777777778,T,B
2022-10-18,11607.333333333334,11143.333333333334,8.345707070707071,102.70277777777778,T,C
2022-10-25,19488.0,19500.0,8.345707070707071,102.70277777777778,T,A
2022-11-02,5794.0,6020.0,8.345707070707071,102.70277777777778,T,A
2022-11-06,27875.5,28185.0,8.345707070707071,102.70277777777778,N,AA
2022-11-17,23241.0,23060.0,8.345707070707071,102.70277777777778,N,AA
2022-11-23,6287.5,7210.0,8.345707070707071,102.70277777777778,E,C
